"N_rate_cluster","contrast","estimate","SE","df","t.ratio","p.value"
"0_100","Normal - PFR",8.81732270228555,1.18441894152494,3466,7.44442898805153,1.22184263967156e-13
"0_100","Normal - GFR",3.91683436170645,1.21911253436885,3466,3.21285709996759,0.00132625427983257
"0_100","PFR - GFR",-4.90048834057911,1.31033024323837,3466,-3.73988799073123,0.000187079321574927
"100_200","Normal - PFR",4.05472614150932,1.04369555135143,3466,3.88497022552129,0.000104254371794734
"100_200","Normal - GFR",2.61421650004411,1.12076887914441,3466,2.33252060142836,0.0197302821600209
"100_200","PFR - GFR",-1.44050964146521,1.15302456638906,3466,-1.2493312661815,0.211628298608913
"200_300","Normal - PFR",2.52166665895369,1.07203632981772,3466,2.35222127162656,0.0187173097658369
"200_300","Normal - GFR",3.58506198508359,1.16281431748422,3466,3.08309068023859,0.00206474517353768
"200_300","PFR - GFR",1.06339532612989,1.17775163005259,3466,0.902902869327733,0.366640191390414
"300_400","Normal - PFR",3.4056017040749,1.30436949596908,3466,2.61091792977319,0.00906886080722925
"300_400","Normal - GFR",2.55295909856987,1.51926623281375,3466,1.68038954821083,0.0929716593625581
"300_400","PFR - GFR",-0.852642605505032,1.48982929177002,3466,-0.572308928422284,0.567149819983178
"400_600","Normal - PFR",5.23890884450551,2.35577048200902,3466,2.22386216506021,0.0262219260919537
"400_600","Normal - GFR",-0.17381070732219,4.84789362746736,3466,-0.0358528302554758,0.971401772276585
"400_600","PFR - GFR",-5.4127195518277,4.91332561367957,3466,-1.10164071698357,0.270694393394298
